0	1	2		3		4	5		6
0.05	0.9	1.96		3.15		4.13	4.950495	6.005
0.1	0.8	1.9208		3.3075		4.26	4.90148		6.015
0.15	0.7	1.882384	3.472875	4.39	4.852951	6.03
0.2	0.6	1.844736	3.646519	4.52	4.804902	6.05
0.25	0.5	1.807842	3.828845	4.65	4.757328	6.075
0.3	0.4	1.771685	4.020287	4.78	4.710226	6.105
0.35	0.3	1.736251	4.221301	4.91	4.66359		6.14
0.4	0.2	1.701526	4.432366	5.04	4.617416	6.18
0.45	0.1	1.667496	4.653985	5.17	4.571699	6.225
0.5	0.15	1.634146	4.886684	5.3	4.526435	6.275
0.55	0.16	1.601463	5.131018	5.43	4.481619	6.33
0.6	0.17	1.569433	5.387569	5.56	4.437246	6.39
0.65	0.18	1.538045	5.656947	5.69	4.393313	6.455
0.7	0.19	1.507284	5.939795	5.82	4.349815	6.525
0.75	0.2	1.477138	5.399813	5.95	4.306747	6.5325
0.8	0.21	1.447595	4.908921	5.8	4.264106	6.5405
0.85	0.22	1.418644	4.462656	5.65	4.221887	6.549
0.9	0.23	1.390271	4.05696		5.5	4.180087	6.558
0.95	0.24	1.362465	3.688145	5.35	4.1387		6.5675
1	0.25	1.335216	3.352859	5.2	4.097722	6.5775
1.05	0.26	1.308512	3.048054	5.05	4.057151	6.588
1.1	0.27	1.282341	2.770958	4.9	4.016981	6.599
1.15	0.28	1.256695	2.519053	4.75	3.977209	6.6105
1.2	0.29	1.231561	2.290048	4.6	3.937831	6.6225
1.25	0.3	1.206929	2.081862	4.45	3.898842	6.635
1.3	0.31	1.182791	1.892602	4.3	3.86024		6.648
1.35	0.32	1.159135	1.720547	4.15	3.82202		6.6615
1.4	0.33	1.135952	1.564134	4	3.784178	6.6755
1.45	0.34	1.113233	1.42194		3.85	3.746711	6.69
1.5	0.35	1.090969	1.292672	3.7	3.709615	6.705
1.55	0.36	1.069149	1.175157	3.55	3.672886	6.7205
1.6	0.37	1.047766	1.068324	3.4	3.636521	6.7365
1.65	0.38	1.026811	0.971204	5.1	3.600515	6.753
1.7	0.39	1.006275	0.882913	4.95	3.564867	6.77
1.75	0.4	0.986149	0.802648	4.8	3.529571	6.7875
1.8	0.41	0.966426	0.72968		4.65	3.494625	6.8055
1.85	0.42	0.947098	0.663345	4.5	3.460025	6.824
1.9	0.43	0.928156	0.603041	4.35	3.425767	6.843
1.95	0.44	0.909593	0.548219	4.2	3.391848	6.8625
2	0.45	0.891401	0.498381	4.05	3.358266	6.8825
2.05	0.46	0.873573	0.453074	3.9	3.325016	6.903
2.1	0.47	0.856101	0.411885	3.75	3.292095	6.924
2.15	0.48	0.838979	0.374441	3.6	3.2595		6.9455
2.2	0.49	0.8222		0.340401	3.45	3.227227	6.9675
